date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:19:39	557/557	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Jul%202021%2005:49:48%20GMT	http://pxdraft.com/robots.txt		(from )
11:19:39	58324/58324	---M-Z	200	added ('OK')	text/html	etag:%22534c8d2-e3d4-5c348e3d9d9e5-gzip%22	http://pxdraft.com/wrap/fusion/	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/index.html	(from )
11:19:41	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%22534c8d6-47e-5c348d71e04f9%22	http://pxdraft.com/wrap/fusion/favicon.ico	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/favicon.ico	(from http://pxdraft.com/wrap/fusion/)
11:19:42	28660/28660	---M-Z	200	added ('OK')	text/html	etag:%22534c4c2-6ff4-5c348e3e12ce8-gzip%22	http://pxdraft.com/wrap/fusion/checkout.html	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/checkout.html	(from http://pxdraft.com/wrap/fusion/)
11:19:42	25951/25951	---M-Z	200	added ('OK')	text/html	etag:%22534c8d5-655f-5c348e3e2afa1-gzip%22	http://pxdraft.com/wrap/fusion/cart.html	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/cart.html	(from http://pxdraft.com/wrap/fusion/)
11:19:43	58324/58324	---M-Z	200	added ('OK')	text/html	etag:%22534c8d2-e3d4-5c348e3d9d9e5-gzip%22	http://pxdraft.com/wrap/fusion/index.html	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/index-2.html	(from http://pxdraft.com/wrap/fusion/)
11:19:44	5398/5398	---M--	200	added ('OK')	image/svg+xml	etag:%22534c8e8-1516-5c348d7685c57%22	http://pxdraft.com/wrap/fusion/static/img/logo.svg	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/img/logo.svg	(from http://pxdraft.com/wrap/fusion/)
11:19:45	39442/39442	---M-Z	200	added ('OK')	text/html	etag:%22534c8c9-9a12-5c348e3fbd52b-gzip%22	http://pxdraft.com/wrap/fusion/item-list.html	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/item-list.html	(from http://pxdraft.com/wrap/fusion/)
11:19:46	38033/38033	---M-Z	200	added ('OK')	text/html	etag:%22534c8d0-9491-5c348e3d51b0b-gzip%22	http://pxdraft.com/wrap/fusion/item-list-01.html	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/item-list-01.html	(from http://pxdraft.com/wrap/fusion/)
11:19:47	44808/44808	---M-Z	200	added ('OK')	text/html	etag:%22534c8c8-af08-5c348e3dcd786-gzip%22	http://pxdraft.com/wrap/fusion/item-detail.html	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/item-detail.html	(from http://pxdraft.com/wrap/fusion/)
11:19:50	33740/33740	---M-Z	200	added ('OK')	text/html	etag:%22534c8ce-83cc-5c348e3e4901a-gzip%22	http://pxdraft.com/wrap/fusion/blog.html	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/blog.html	(from http://pxdraft.com/wrap/fusion/)
11:19:51	43471/43471	---M-Z	200	added ('OK')	text/html	etag:%22534c8cc-a9cf-5c348e3ec8345-gzip%22	http://pxdraft.com/wrap/fusion/blog-single.html	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/blog-single.html	(from http://pxdraft.com/wrap/fusion/)
11:19:51	24762/24762	---M-Z	200	added ('OK')	text/html	etag:%22534c8ca-60ba-5c348e3ee82fe-gzip%22	http://pxdraft.com/wrap/fusion/about.html	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/about.html	(from http://pxdraft.com/wrap/fusion/)
11:19:52	31760/31760	---M-Z	200	added ('OK')	text/html	etag:%22534c8cf-7c10-5c348e3c94b96-gzip%22	http://pxdraft.com/wrap/fusion/pricing.html	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/pricing.html	(from http://pxdraft.com/wrap/fusion/)
11:19:53	29548/29548	---M-Z	200	added ('OK')	text/html	etag:%22534c8d3-736c-5c348e3da00f5-gzip%22	http://pxdraft.com/wrap/fusion/faq.html	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/faq.html	(from http://pxdraft.com/wrap/fusion/)
11:19:55	23801/23801	---M-Z	200	added ('OK')	text/html	etag:%22534c8c7-5cf9-5c348e3dd73c7-gzip%22	http://pxdraft.com/wrap/fusion/contact.html	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/contact.html	(from http://pxdraft.com/wrap/fusion/)
11:19:55	21628/21628	---M-Z	200	added ('OK')	text/html	etag:%22534c8d1-547c-5c348e3d24862-gzip%22	http://pxdraft.com/wrap/fusion/login.html	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/login.html	(from http://pxdraft.com/wrap/fusion/)
11:19:56	22073/22073	---M-Z	200	added ('OK')	text/html	etag:%225348911-5639-5c348e3cd52d8-gzip%22	http://pxdraft.com/wrap/fusion/sign-up.html	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/sign-up.html	(from http://pxdraft.com/wrap/fusion/)
11:19:56	19707/19707	---M-Z	200	added ('OK')	text/html	etag:%22534c8cd-4cfb-5c348e3d011f9-gzip%22	http://pxdraft.com/wrap/fusion/reset-password.html	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/reset-password.html	(from http://pxdraft.com/wrap/fusion/)
11:19:57	26212/26212	---M-Z	200	added ('OK')	text/html	etag:%22534c9a0-6664-5c348e3eb3354-gzip%22	http://pxdraft.com/wrap/fusion/account.html	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/account.html	(from http://pxdraft.com/wrap/fusion/)
11:19:58	24902/24902	---M-Z	200	added ('OK')	text/html	etag:%22534c8d4-6146-5c348e3c553f5-gzip%22	http://pxdraft.com/wrap/fusion/downloads.html	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/downloads.html	(from http://pxdraft.com/wrap/fusion/)
11:20:03	312833/312833	---M--	200	added ('OK')	text/css	etag:%22534c8d8-4c601-5c348d74d65f4%22	http://pxdraft.com/wrap/fusion/static/css/style.css	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/css/style.css	(from http://pxdraft.com/wrap/fusion/)
11:20:18	270479/270479	---M--	200	added ('OK')	image/png	etag:%22534c8e6-4208f-5c348d7753185%22	http://pxdraft.com/wrap/fusion/static/img/product-1.png	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/img/product-1.png	(from http://pxdraft.com/wrap/fusion/)
11:20:28	61620/61620	---M--	200	added ('OK')	image/png	etag:%22534c8ec-f0b4-5c348d7811482%22	http://pxdraft.com/wrap/fusion/static/img/product-5.png	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/img/product-5.png	(from http://pxdraft.com/wrap/fusion/)
11:20:30	312775/312775	---M--	200	added ('OK')	image/png	etag:%22534c8ea-4c5c7-5c348d78594db%22	http://pxdraft.com/wrap/fusion/static/img/product-3.png	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/img/product-3.png	(from http://pxdraft.com/wrap/fusion/)
11:20:40	99527/99527	---M--	200	added ('OK')	image/png	etag:%22534c8ed-184c7-5c348d789a3ed%22	http://pxdraft.com/wrap/fusion/static/img/product-7.png	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/img/product-7.png	(from http://pxdraft.com/wrap/fusion/)
11:20:40	144717/144717	---M--	200	added ('OK')	image/png	etag:%22534c8ee-2354d-5c348d7843d1b%22	http://pxdraft.com/wrap/fusion/static/img/product-6.png	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/img/product-6.png	(from http://pxdraft.com/wrap/fusion/)
11:20:45	44843/44843	---M--	200	added ('OK')	image/jpeg	etag:%22534c8d9-af2b-5c348d745a979%22	http://pxdraft.com/wrap/fusion/static/img/avatar-1.jpg	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/img/avatar-1.jpg	(from http://pxdraft.com/wrap/fusion/)
